Student_ID,Name,Age,Gender,City,Class,Attendance_Percentage,Study_Hours_per_day,Math_Score,Science_Score,English_Score,Total_Score,Parent_Education,Internet_Access,Result
1754,Jannat Hossain,13,M,Rajshahi,Nine,106.2,4.5,41,77,51,169.0,Illiterate,N,
4815,Nusrat Sarker,,M,Barishal,8,76.5,4.3,34,55,46,135.0,PRIMARY,,P
6201,Ayesha Khan,16,MALE,SYLHET,9,93.5,3.4,91,92,64,247.0,,YES,fail
4693,Nadia Das,13,FEMALE,rangpur,7th,78.7,2.6,87,55,41,183.0,secondary,N,Pass
6726,Imran Rahman,15,other,SYLHET,9th,86.9,2.4,85,65,71,221.0,graduate,N,FAIL
8466,Riya Islam,14,male,rangpur,Seven,83.5,2.0,57,38,88,,,YES,FAIL
7072,Sohan Talukder,15,Other,rangpur,10,62.3,2.4,74,57,82,213.0,,No,FAIL
8643,Momo Das,12,MALE,chittagong,7,93.5,1.0,72,58,48,178.0,N/A,N,
5554,Imran Rahman,14,male,Rajshahi,06,90.1,4.1,66,90,36,192.0,illiterate,NO,F
3171,Sabbir Khan,14,other,CHATTOGRAM,8th,75.3,1.3,84,85,78,247.0,Primary,no,Pass
8568,Farhan Rahman,18,M,Chittagong,10th,74.1,4.3,243,61,33,337.0,Secondary,NO,
2308,Tamim Islam,18,,dhaka,8,66.5,3.3,37,64,98,199.0,illiterate,NO,
2668,Zayed Sarker,13,FEMALE,chittagong,06,78.0,2.4,30,,56,86.0,Higher Secondary,YES,Fail
8721,Riya Akter,17,FEMALE,mymensingh,7,70.6,3.4,81,83,98,262.0,PRIMARY,no,pass
7054,Priya Talukder,12,FEMALE,khulna,8th,100.2,3.0,59,71,67,197.0,higher secondary,,P
9054,Fatema Ahmed,18,Female,Barisal,8,78.4,2.0,50,52,71,173.0,illiterate,,F
3485,Fatema Sarker,13,MALE,SYLHET,8,75.6,0.9,54,68,68,190.0,,YES,
8559,Mitu Ahmed,18,other,Mymensingh,Nine,77.6,3.1,94,46,66,206.0,Post Graduate,N,Pass
118,Arif Khan,16,other,Mymensign,10th,86.0,,37,55,80,172.0,PRIMARY,yes,P
5369,Sohan Talukder,11,Other,chittagong,7,93.1,2.9,44,43,84,171.0,postgraduate,1,Pass
8379,Bristi Das,11,F,chittagong,Nine,80.7,3.0,81,64,,145.0,Secondary,YES,Pass
385,Bristi Akter,18,MALE,Mymensign,8,68.0,3.8,43,82,88,213.0,Unknown,Yes,fail
5160,Hasan Akter,12,Female,rangpur,7th,88.8,3.7,-32,92,41,101.0,primary,1,
3266,farhan khan,11,male,khulna,06,90.0,4.2,94,97,40,,secondary,Y,
8819,Arif Talukder,13,FEMALE,Rajshahi,06,88.2,5.2,61,88,99,248.0,Unknown,,Pass
3312,Sabbir Sarker,18,Male,Mymensingh,9th,83.6,4.5,89,79,65,233.0,Secondary,N,FAIL
7740,Sohan Das,18,Male,khulna,Eight,69.2,2.7,70,47,32,149.0,unknown,YES,P
8176,Shila Khan,12,male,Rangpur,06,87.7,3.1,absent,80,75,155.0,GRADUATE,N,
1110,Karim Islam,15,female,SYLHET,9,92.2,6.6,76,67,96,239.0,PRIMARY,,F
3481,Farhan Khan,-4,Other,SYLHET,8,88.8,2.2,55,67,65,187.0,Illiterate,YES,F
976,Sadia Islam,16,Female,Sylhet,7,83.0,-2.4,78,32,34,144.0,Primary,0,Fail
5607,Mim Talukder,14,Male,Dhaka ,Eight,74.5,5.4,32,91,58,181.0,Illiterate,1,P
2800,Tamim Das,16,,Barisal,Nine,83.6,3.3,92,54,73,219.0,illiterate,no,
5577,Rupa Das,17,FEMALE,Rangpur,Seven,90.4,4.8,51,99,53,203.0,primary,N,fail
2739,Mitu Khan,12,other,rajshahi,8th,93.6,2.4,75,87,90,252.0,Illiterate,n/a,
3270,Bristi Das,11,other,Rajshahi,7th,92.2,3.0,90,40,65,195.0,Primary,N,fail
3377,Imran Akter,17,female,rajshahi,06,85.5,1.7,60,37,54,151.0,N/A,no,fail
8123,Rahim Talukder,14,Other,Mymensingh,10th,89.5,1.4,96,59,48,203.0,Illiterate,N,P
7469,Mim Chowdhury,16,O,Mymensign,8th,88.7,4.8,31,41,84,156.0,GRADUATE,no,PASS
1236,Momo Sarker,15,Other,Mymensign,Six,89.1,2.6,82,73,83,238.0,PRIMARY,1,Fail
3641,Rafi Sarker,18,Other,KHULNA ,7th,65.0,,48,86,61,195.0,Unknown,0,PASS
7366,Riya Akter,16,female,khulna,9th,100.3,1.6,81,46,65,192.0,postgraduate,Yes,fail
9188,Rafi Akter,13,female,dhaka,10,87.2,0.0,49,65,33,147.0,Unknown,1,fail
516,Lima Islam,15,Female,khulna,9,86.3,1.7,58,35,78,error,PRIMARY,1,
8382,Momo Sarker,11,female,rangpur,9th,68.5,2.2,42,69,61,172.0,primary,No,PASS
7858,Rahim Sarker,18,M,CHATTOGRAM,7,79.2,1.0,67,95,93,255.0,N/A,Y,pass
7939,Zayed Khan,18,F,Khulna,Ten,98.1,1.4,34,48,71,153.0,illiterate,Yes,fail
7839,Bristi Sarker,16,M,rangpur,8,79.9,2.5,75,34,absent,109.0,Post Graduate,yes,PASS
8359,Fatema Das,12,Male,Rangpur,10,81.9,4.1,45,74,44,163.0,Primary,Yes,Fail
5184,Sadia Ahmed,18,female,Mymensign,Seven,76.2,3.7,73,66,57,196.0,,0,Fail
6019 ,,12,Female,Sylhet,6,79.1,2.4,51,53,88,192.0,Illiterate,No,Fail
6624,Ayesha Islam,14,male,mymensingh,8th,93.5,5.8,41,92,85,218.0,postgraduate,,fail
6286,Bristi Ahmed,fifteen,Female,rangpur,Six,81.6,5.0,89,78,34,201.0,higher secondary,yes,Pass
411,Jannat Talukder,17,O,Chittagong,Six,95.5,2.5,65,74,82,221.0,Secondary,,PASS
9831,Riya Sarker,14,MALE,Mymensign,8,84.6,3.7,74,90,84,248.0,higher secondary,,PASS
9230,Jannat Islam,14,Male,Mymensingh,8,88.5,2.2,53,67,39,159.0,illiterate,Yes,F
8446,Imran Talukder,15,O,rajshahi,Ten,87.3,1.0,38,67,72,177.0,PRIMARY,yes,fail
3031,Rupa Islam,15,,KHULNA ,8,93.2,2.5,81,93,69,243.0,graduate,No,Pass
5189,Nadia Chowdhury,16,Female,Barishal,7th,91.7,1.0,73,31,71,189.0,illiterate,N,Pass
7070,Mim Islam,16,F,rajshahi,Eight,95.2,2.1,94,89,37,220.0,higher secondary,Yes,FAIL
8547,Karim Khan,12,,rajshahi,6,102.1,4.6,77,94,71,242.0,graduate,1,P
4453,Riya Talukder,13,male,KHULNA ,9th,79.3,-0.2,87,37,93,217.0,N/A,yes,Fail
9498,Rahim Chowdhury,18,male,Rajshahi,8th,80.3,4.8,40,-36,60,64.0,Primary,YES,Fail
2822,Sabbir Ahmed,17,Male,Mymensingh,7,92.9,5.3,75,74,33,182.0,Primary,yes,PASS
4761,rafi sarker,18,male,  Dhaka,8,98.5,1.6,83,70,95,248.0,Unknown,No,pass
6863,Fatema Rahman,12,other,Mymensign,9,101.0,2.1,72,78,40,190.0,PRIMARY,yes,pass
1097,Jannat Islam,13,male,Rangpur,Six,74.4,3.6,37,83,66,186.0,Unknown,1,FAIL
4155,Momo Khan,14,Female,khulna,7,104.5,1.1,95,59,39,193.0,Secondary,Y,fail
1814,arif chowdhury,11,Male,mymensingh,7,108.8,2.8,99,57,74,235.0,N/A,YES,FAIL
4518,Rafi Akter,13,other,Rajshahi ,10,97.1,27.9,76,50,61,187.0,secondary,Yes,P
7409,Farhan Islam,15,FEMALE,mymensingh,8,84.0,2.7,-31,56,45,70.0,Secondary,No,PASS
4594,Arif Sarker,12,other,Rajshahi ,10th,83.5,4.7,68,63,83,214.0,N/A,NO,fail
5479,Jannat Ahmed,11,male,Barishal,Nine,83.1,4.8,97,88,36,221.0,N/A,YES,F
1138,Rakib Khan,11,Male,rangpur,Eight,86.4,7.4,47,39,40,126.0,,1,FAIL
2532,Karim Talukder,18,Female,sylhet,8,84.0,0.5,63,89,42,194.0,Post Graduate,1,FAIL
2778,Nadia Akter,16,Female,SYLHET,8,84.2,4.1,34,47,44,125.0,Post Graduate,No,Pass
9355,Mitu Islam,18,,chittagong,06,92.5,5.4,85,61,64,210.0,Primary,Y,Fail
523,Ayesha Ahmed,12,FEMALE,Rajshahi,Six,103.1,2.0,98,95,76,269.0,primary,no,Pass
243,Rupa Islam,18,FEMALE,,Eight,95.3,3.4,90,49,31,170.0,Illiterate,Yes,
1898,Kabir Akter,17,MALE,Barisal,7,84.7,4.4,82,31,97,210.0,N/A,,Pass
6892,Rahim Ahmed,14,O,dhaka,Nine,92.2,5.2,55,50,51,,PRIMARY,1,Pass
1726,Nadia Ahmed,18,MALE,sylhet,6,79.6,5.6,90,68,84,242.0,GRADUATE,YES,pass
8313,Nusrat Sarker,18,Other,Rangpur,6th,93.4,1.8,32,90,31,153.0,Primary,No,F
1168,Zayed Khan,14,M,CHATTOGRAM,10,56.0,2.9,47,72,68,187.0,secondary,No,Pass
9681,Rupa Ahmed,17,F,sylhet,Six,105.8,3.2,87,74,43,204.0,Illiterate,Yes,fail
1584,Zayed Khan,11,F,Rangpur,9th,83.8,4.9,92,81,39,212.0,Illiterate,Yes,
1155,Hasan Hossain,16,Male,Mymensingh,6th,90.1,0.9,99,96,163,358.0,unknown,,FAIL
5218,Karim Chowdhury,18,,Dhaka,Ten,64.8,3.5,49,30,38,117.0,primary,no,pass
7483,Mim Khan,12,female,chittagong,06,81.6,4.6,69,30,93,192.0,Post Graduate,yes,F
5573,Farhan Akter,17,male,Mymensingh,7,73.5,4.4,93,88,55,236.0,secondary,N,pass
326,Arif Sarker,18,Other,Barishal,8th,91.0,4.2,32,94,33,159.0,postgraduate,1,Pass
7077,Imran Sarker,231,other,rajshahi,06,88.4,1.3,31,55,52,138.0,Unknown,,fail
8448,Sadia Talukder,13,M,CHATTOGRAM,Seven,80.5,3.2,76,54,93,223.0,N/A,N,fail
7264,Anik Chowdhury,11,O,Ctg,7,99.4,2.2,56,98,31,,postgraduate,no,Fail
1392,Anik Chowdhury,11,M,khulna,Ten,91.8,2.9,55,44,62,161.0,illiterate,n/a,
5286,Shila Ahmed,16,Other,Khulna,10th,76.3,2.4,92,58,60,210.0,PRIMARY,N,fail
4377,Hasan Islam,16,male,Rajshahi,6th,86.7,4.9,99,31,58,188.0,Post Graduate,,fail
9018,Fatema Hossain,18,F,Barisal,6th,86.5,-0.0,40,89,45,174.0,illiterate,NO,PASS
1858,Hasan Hossain,17,male,mymensingh,Eight,83.1,0.1,38,54,71,163.0,Post Graduate,N,F
2839,Rupa Hossain,15,MALE,Rangpur,6th,88.1,6.2,64,65,85,214.0,GRADUATE,0,P
5967,Karim Rahman,12,FEMALE,Sylhet,10,77.5,3.3,-39,70,80,111.0,graduate,,
9337,Ayesha Sarker,18,female,Khulna,Six,80.2,2.1,57,51,57,,,YES,Fail
5127,Riya Chowdhury,12,Other,Rajshahi ,7th,88.7,3.3,53,80,71,204.0,graduate,N,
8858,Bristi Talukder,11,MALE,Rangpur,8,95.7,3.9,37,83,34,154.0,secondary,Y,PASS
4105,Rakib Hossain,11,MALE,KHULNA ,7th,79.4,4.4,79,96,55,230.0,Graduate,N,Fail
5569,Rupa Das,12,M,dhaka,Seven,81.9,4.1,32,44,31,107.0,Post Graduate,No,
3993,Tamim Das,12,F,rangpur,6th,86.1,2.1,41,40,56,137.0,graduate,1,fail
STU-01142,Nadia Rahman,17,M,Dhaka,Ten,65.5,6.1,85,-46,45,84.0,graduate,0,P
5435,Kabir Sarker,12,O,rajshahi,9,92.2,2.5,62,54,81,197.0,Post Graduate,,PASS
4904,Farhan Khan,14,Male,Mymensingh,7,106.7,4.5,45,97,55,197.0,primary,,
2515,Bristi Talukder,16,,DHAKA,6th,79.1,2.8,40,63,75,178.0,Secondary,Y,pass
4259,Rafi Hossain,18,F,Rajshahi,Ten,68.4,4.0,45,69,56,170.0,Illiterate,yes,PASS
3781,Arif Talukder,17,M,Ctg,Seven,80.4,1.7,59,96,85,240.0,Primary,No,Fail
6666 ,Arif Das,16,M,Rajshahi,9,93.7,1.5,50,78,85,213.0,graduate,YES,pass
2175,Fatema Akter,14,FEMALE,dhaka,6th,79.3,1.7,62,81,47,190.0,Secondary,NO,PASS
7259,Arif Ahmed,14,M,Mymensign,Ten,98.3,4.6,42,74,48,164.0,unknown,Y,
2293,Shila Khan,14,female,Khulna,Ten,87.8,5.2,78,37,87,202.0,Higher Secondary,YES,pass
9709,Bristi Khan,13,Male,barisal,10th,78.3,1.4,82,35,50,167.0,GRADUATE,1,P
6050,Nadia Talukder,14,other,Rajshahi ,Ten,93.9,0.8,30,59,46,135.0,Unknown,Y,Fail
4017,Ayesha Rahman,14,Male,barisal,Six,96.0,3.2,91,80,77,248.0,illiterate,no,PASS
2589,Arif Sarker,17,F,mymensingh,Six,72.3,5.2,70,76,43,189.0,illiterate,1,pass
668,Hasan Hossain,17,female,Sylhet,9th,60.1,2.0,99,88,93,280.0,postgraduate,,F
3211,Hasan Akter,14,M,rajshahi,8th,102.3,4.1,47,31,80,158.0,N/A,N,Fail
4478,Bristi Islam,15,,rangpur,8th,77.9,3.7,36,61,62,159.0,GRADUATE,YES,F
664,Lima Islam,13,Female,mymensingh,7,72.1,0.9,76,46,46,168.0,illiterate,,Pass
3899,Momo Ahmed,16,female,Barishal,7th,89.9,3.3,79,46,-44,81.0,illiterate,1,FAIL
6797,Hasan Islam,14,other,Rajshahi ,Eight,81.5,4.3,48,76,93,217.0,N/A,no,Pass
4153,Ayesha Sarker,13,Female,Sylhet,6th,83.9,3.6,63,45,71,179.0,primary,NO,Fail
4376,Rakib Ahmed,17,M,khulna,9,84.2,3.7,absent,43,75,118.0,graduate,No,PASS
6040,Rafi Talukder,16,female,Dacca,06,86.4,3.8,30,49,51,130.0,primary,N,
6670,Mitu Chowdhury,11,FEMALE,Rangpur,9,93.9,2.6,-19,43,120,144.0,higher secondary,0,fail
4512,Rafi Das,15,Male,Rajshahi ,7th,99.5,-0.5,86,60,45,191.0,Unknown,Yes,Pass
5520,Hasan Chowdhury,11,F,sylhet,06,82.7,2.4,76,54,79,209.0,Post Graduate,NO,
596,Bristi Chowdhury,15,F,Mymensingh,8th,68.5,0.8,97,90,58,245.0,secondary,YES,F
2601,Anik Khan,17,O,Rajshahi,9th,79.8,0.8,73,91,38,,N/A,,
1847,Nadia Islam,18,O,Barishal,Seven,92.8,1.3,94,90,49,233.0,Illiterate,no,fail
4848,Rakib Khan,14,O,KHULNA ,9th,138.8,4.9,71,75,54,200.0,,Y,
1058,Sadia Chowdhury,12,FEMALE,barisal,Seven,76.2,2.2,36,45,45,126.0,,NO,P
8593,Sabbir Sarker,12,F,  Dhaka,Seven,80.9,0.6,62,38,40,140.0,Higher Secondary,n/a,
1269,Karim Das,13,female,rangpur,7,83.3,5.7,79,66,75,220.0,illiterate,No,P
6307,Mitu Talukder,,,rangpur,6,93.3,2.4,31,-14,97,114.0,postgraduate,,P
2897,Rakib Islam,13,MALE,DHAKA,8,78.6,2.2,67,31,46,144.0,higher secondary,yes,PASS
5330,Momo Talukder,17,MALE,Chattogram,9,81.2,3.3,62,35,,97.0,illiterate,1,pass
5236,Mitu Islam,13,FEMALE,Ctg,9th,100.1,3.9,48,54,47,149.0,Post Graduate,yes,F
8330,Rakib Akter,12,Other,rajshahi,9th,85.2,3.8,64,42,84,190.0,primary,,Fail
7565,Hasan Talukder,14,M,Chattogram,8,83.8,0.2,69,99,31,199.0,postgraduate,1,Pass
1872,Karim Sarker,18,other,Dacca,9th,74.6,-0.5,85,46,47,178.0,postgraduate,1,FAIL
8384,Fatema Hossain,11,F,CHATTOGRAM,Eight,93.8,3.2,83,95,33,211.0,,1,
2135,Mim Ahmed,15,MALE,Rajshahi,6th,93.7,7.2,40,53,-20,73.0,unknown,n/a,FAIL
7633,Nadia Talukder,12,M,Sylhet,10,-1.7,2.0,83,43,61,187.0,Higher Secondary,,PASS
6902,Kabir Talukder,15,female,Rangpur,8,85.6,4.0,74,58,78,210.0,,N,
514,Tamim Hossain,12,other,Rajshahi,Ten,89.5,2.2,97,47,72,216.0,GRADUATE,N,F
3547,Sohan Islam,17,Male,dhaka,8th,93.3,3.2,81,86,38,205.0,secondary,0,F
1143,Riya Akter,16,FEMALE,Rangpur,8,83.0,3.6,37,32,48,117.0,Illiterate,Y,P
6977,Shila Akter,14,Female,sylhet,10th,86.6,1.8,97,67,31,195.0,N/A,1,PASS
1180,Tanvir Chowdhury,15,M,CHATTOGRAM,8,65.0,3.1,90,49,39,178.0,Primary,1,fail
9459,Lima Chowdhury,12,Other,Dhaka,8th,65.2,3.5,36,41,,77.0,GRADUATE,Yes,P
8598,Shila Rahman,13,female,CHATTOGRAM,6,77.1,2.8,45,98,70,213.0,Higher Secondary,NO,Fail
1545,Mitu Akter,14,FEMALE,khulna,7,93.5,3.8,79,46,64,189.0,postgraduate,0,F
STU-07467,Nusrat Hossain,12,Other,mymensingh,7th,-4.1,-0.5,90,92,31,213.0,secondary,no,pass
6095,Kabir Sarker,18,Other,khulna,Seven,79.6,3.3,87,36,54,177.0,PRIMARY,N,
8787,Imran Ahmed,13,MALE,Khulna,7,87.3,1.4,94,72,32,198.0,,N,F
7049,Bristi Rahman,18,O,barisal,Nine,100.7,0.0,58,61,54,173.0,Graduate,1,FAIL
64,Imran Chowdhury,13,male,sylhet,6th,91.1,4.5,64,62,62,188.0,,0,
2941,Mitu Talukder,12,male,KHULNA ,Eight,79.4,5.5,90,48,31,169.0,graduate,yes,F
3397,Tanvir Islam,13,MALE,,9th,71.0,2.1,84,56,36,,graduate,,F
222,Priya Rahman,16,Female,,10,78.9,1.3,260,31,62,353.0,Primary,no,Fail
1498,Momo Das,16,female,Chittagong,06,73.8,1.9,66,93,69,228.0,Illiterate,,F
577,Sohan Khan,18,MALE,dhaka,7th,-32.2,3.0,90,77,54,221.0,postgraduate,,PASS
583,Farhan Chowdhury,15,M,Mymensingh,Ten,76.9,5.3,88,86,69,243.0,Post Graduate,,
STU-01638,Karim Sarker,16,FEMALE,Sylhet,Eight,85.9,0.8,83,41,66,190.0,primary,NO,
211,Fatema Talukder,12,Female,SYLHET,9th,70.5,-0.3,68,44,58,170.0,Primary,NO,pass
6985,Mim Islam,14,Other,rangpur,Six,68.4,2.2,80,64,91,235.0,Primary,0,FAIL
8591,Arif Khan,14,female,Mymensign,8th,65.9,2.2,83,44,80,207.0,N/A,n/a,Fail
7141,Sohan Khan,12,M,rangpur,Eight,81.7,0.0,93,32,283,408.0,Post Graduate,No,
8670,Momo Sarker,18,Female,Barishal,6th,94.5,4.1,69,37,67,173.0,secondary,n/a,pass
5844,Lima Islam,12,female,Rangpur,Six,77.1,5.7,48,97,39,184.0,unknown,n/a,Fail
5692,Ayesha Talukder,14,O,Mymensign,7th,70.5,3.5,91,39,83,213.0,primary,Y,Pass
891,Shila Sarker,15,other,Barishal,7,80.8,2.6,64,80,47,191.0,unknown,0,PASS
2910,Mim Rahman,14,F,Rangpur,10,88.0,6.1,63,70,39,172.0,Higher Secondary,YES,fail
3728,Sohan Rahman,13,Female,Rajshahi ,10,79.2,5.0,77,48,81,206.0,,n/a,
2000,Imran Talukder,14,Male,CHATTOGRAM,Eight,92.2,2.8,99,30,91,220.0,illiterate,No,PASS
1499,Sadia Sarker,15,O,Rangpur,Ten,78.8,4.3,77,48,62,187.0,N/A,no,PASS
STU-05050,Imran Hossain,17,M,khulna,8,88.6,5.8,65,59,76,200.0,,YES,Pass
2394,Rupa Das,12,Female,barisal,6th,96.0,,36,76,37,149.0,N/A,NO,
2893,Rafi Islam,15,MALE,mymensingh,10th,80.8,4.1,40,-45,47,42.0,higher secondary,0,fail
3867,Momo Akter,15,Male,mymensingh,Nine,71.7,3.6,63,41,48,152.0,higher secondary,Yes,F
805,Zayed Islam,17,MALE,,Eight,80.7,4.3,84,75,53,212.0,PRIMARY,No,F
3028,Mitu Hossain,13,O,  Dhaka,7th,112.4,3.9,54,71,74,199.0,,YES,fail
9419,Fatema Rahman,14,Other,rangpur,Eight,90.7,2.2,52,39,39,130.0,primary,,pass
3382,Nusrat Talukder,18,Male,sylhet,Nine,82.4,3.9,55,58,54,167.0,graduate,no,Pass
6154,Karim Talukder,12,Other,rangpur,8th,84.2,3.0,34,76,53,163.0,,No,FAIL
4927,Mitu Sarker,11,FEMALE,Mymensingh,Eight,69.5,2.3,,78,75,153.0,secondary,yes,pass
9658,Rahim Rahman,11,FEMALE,rajshahi,Eight,84.8,5.7,82,39,78,199.0,Primary,No,
4928,Arif Rahman,13,M,Chattogram,10th,96.6,5.0,41,86,93,220.0,primary,n/a,Fail
4081,Kabir Islam,11,,Mymensign,7th,101.1,1.9,89,60,32,181.0,primary,Yes,fail
8634,Jannat Islam,15,female,SYLHET,Nine,96.6,0.6,51,98,78,227.0,Post Graduate,NO,FAIL
1286,Karim Chowdhury,15,M,Sylhet,Eight,95.9,1.3,72,81,96,249.0,primary,n/a,Pass
9271,Arif Talukder,14,male,barisal,10th,98.1,5.4,56,81,63,200.0,unknown,,Fail
8964,Hasan Das,15,Female,khulna,Six,74.7,-3.6,64,84,92,240.0,Unknown,1,
8362,Karim Chowdhury,14,,Barisal,10,92.5,4.2,47,65,68,180.0,Post Graduate,Y,Pass
6986,Bristi Islam,13,Other,mymensingh,Six,56.1,2.5,79,59,48,186.0,PRIMARY,0,Pass
4299,Rafi Talukder,13,F,KHULNA ,10th,104.8,6.6,75,57,81,213.0,PRIMARY,NO,FAIL
4804,Shila Islam,235,other,Rajshahi ,6th,80.9,4.3,59,39,87,185.0,Secondary,N,Fail
5550,Mitu Das,16,M,Barishal,7,73.2,5.5,94,40,78,212.0,graduate,Yes,FAIL
5677,Tamim Chowdhury,16,female,Barisal,9,82.3,-3.7,72,75,65,212.0,Primary,no,
1588,Nusrat Rahman,15,female,Dhaka ,Eight,99.0,3.4,80,61,53,194.0,Illiterate,,F
325,Zayed Khan,17,male,sylhet,7th,92.5,3.6,54,37,87,178.0,Graduate,no,P
4697,Priya Sarker,15,FEMALE,chittagong,9,83.9,3.1,,91,89,180.0,Primary,n/a,fail
276,Rupa Chowdhury,17,O,rangpur,7th,95.4,2.2,97,71,61,229.0,Primary,,Pass
4097 ,Karim Hossain,12,FEMALE,Dhaka ,06,79.9,3.9,50,78,95,223.0,postgraduate,N,Pass
3836,Ayesha Das,13,O,Dhaka ,9th,86.7,3.8,-29,38,42,51.0,unknown,NO,
6027,Rafi Rahman,170,FEMALE,mymensingh,Nine,112.6,3.7,68,186,81,335.0,,N,FAIL
7128,Zayed Khan,11,M,  Dhaka,6th,83.5,3.7,75,53,53,181.0,GRADUATE,YES,
150,Sabbir Islam,11,male,Barisal,9th,84.7,2.2,69,48,47,164.0,N/A,,fail
3475,Ayesha Sarker,17,FEMALE,Mymensingh,10,86.0,-1.0,87,48,42,177.0,Graduate,0,F
5921,Nadia Akter,11,MALE,Dhaka,Eight,97.2,3.8,49,65,57,171.0,Graduate,NO,F
296,Zayed Talukder,17,O,chittagong,9,56.1,3.4,89,92,35,216.0,secondary,NO,PASS
7892,Rahim Talukder,12,MALE,rangpur,6,97.0,1.7,52,87,44,183.0,GRADUATE,Yes,pass
8108,Arif Rahman,13,other,Dacca,7,83.7,3.1,76,48,63,187.0,GRADUATE,NO,FAIL
2572,Zayed Hossain,14,FEMALE,barisal,Seven,82.3,5.3,50,80,75,205.0,Graduate,1,
4317,Farhan Talukder,11,MALE,DHAKA,9th,74.4,2.4,51,46,62,159.0,Higher Secondary,N,P
5695,Arif Sarker,fifteen,FEMALE,Rajshahi,Seven,93.6,2.6,34,59,74,167.0,Unknown,No,
3196,Sohan Das,17,FEMALE,Rajshahi,9,89.2,3.8,73,36,31,140.0,secondary,NO,Pass
9187,Arif Das,17,male,Barishal,Ten,69.8,0.6,73,99,92,264.0,Post Graduate,n/a,fail
6568,Tanvir Chowdhury,15,female,Rajshahi ,10th,74.5,4.6,87,53,68,208.0,higher secondary,Yes,pass
2387,Farhan Das,11,FEMALE,barisal,7th,218.1,2.6,42,59,98,199.0,,,FAIL
8775,Sabbir Hossain,11,M,Chittagong,8,84.7,-0.4,45,48,66,159.0,unknown,No,fail
7051,Sohan Chowdhury,13,M,sylhet,7,81.5,1.4,70,66,84,220.0,postgraduate,No,fail
5182,Nadia Hossain,12,M,  Dhaka,10,81.1,0.1,61,74,56,191.0,Unknown,,pass
5676 ,Tamim Sarker,12,O,KHULNA ,Seven,79.7,3.1,73,45,57,175.0,primary,YES,F
6793,Sabbir Talukder,18,male,SYLHET,10,91.5,3.5,50,50,80,180.0,unknown,1,fail
2154,Rafi Das,15,male,barisal,6,96.8,3.2,74,84,88,246.0,Higher Secondary,n/a,Fail
5849,Rahim Das,11,Female,  Dhaka,10th,99.6,4.3,46,92,55,193.0,Secondary,yes,pass
7231,Rahim Hossain,12,Female,  Dhaka,6,90.3,3.8,,60,38,98.0,Post Graduate,Yes,Fail
6913,Lima Akter,13,MALE,KHULNA ,9th,76.7,2.0,81,65,76,222.0,Graduate,no,fail
1874,Riya Islam,18,,DHAKA,Nine,93.6,4.3,32,73,99,204.0,,n/a,Pass
48,Anik Hossain,16,,Rangpur,Ten,71.2,1.6,55,79,54,188.0,GRADUATE,n/a,fail
2769,Fatema Khan,18,,rangpur,Ten,70.7,6.3,87,46,41,,higher secondary,N,Fail
6627,Hasan Chowdhury,18,Male,Rajshahi,9,74.8,1.9,44,52,41,137.0,higher secondary,N,fail
180,Jannat Islam,18,Male,Ctg,8th,80.7,2.5,32,66,72,170.0,,No,
6132,Imran Akter,15,F,Dhaka,Seven,81.9,2.7,86,75,64,225.0,Secondary,Yes,fail
5728,Karim Rahman,12,MALE,barisal,Nine,75.1,0.3,75,53,43,171.0,GRADUATE,yes,FAIL
3319,Sohan Chowdhury,17,F,mymensingh,7,99.6,1.3,70,42,62,174.0,Illiterate,,PASS
3215,Fatema Das,18,Male,Dacca,7,72.1,2.7,43,38,55,136.0,Higher Secondary,no,FAIL
STU-03660,Kabir Das,18,other,,10th,98.4,3.5,97,67,30,194.0,Graduate,,Pass
6429,Kabir Sarker,17,FEMALE,  Dhaka,7th,77.5,1.3,82,49,-31,100.0,,Y,Pass
9252,Lima Rahman,13,male,Chattogram,Nine,86.5,2.9,98,65,71,234.0,Graduate,Yes,
9144,Nadia Ahmed,12,,Dacca,Nine,88.8,1.7,43,52,57,152.0,Secondary,NO,
6421,Rakib Akter,16,Male,rajshahi,Ten,85.2,3.5,76,71,33,180.0,N/A,N,P
3571,Karim Ahmed,-9,female,Dacca,06,82.3,4.3,41,59,89,189.0,,no,F
4218,Sohan Das,11,Female,SYLHET,06,79.6,3.4,40,,55,95.0,N/A,N,F
7514,Hasan Talukder,13,O,Sylhet,10th,66.5,3.9,98,64,40,202.0,secondary,NO,F
2655,Sohan Islam,17,FEMALE,SYLHET,8th,100.6,7.4,76,77,49,202.0,unknown,Yes,PASS
5072,Kabir Chowdhury,13,Male,rangpur,Eight,94.5,1.6,69,59,39,167.0,secondary,yes,Fail
3966,Jannat Akter,11,M,Sylhet,Seven,101.8,2.5,68,63,66,209.0,illiterate,no,F
3354,Shila Khan,13,M,Sylhet,10th,84.6,2.8,69,46,34,149.0,N/A,YES,Fail
STU-09804,Nusrat Akter,12,MALE,barisal,8th,74.0,0.9,31,43,96,170.0,Post Graduate,N,P
5417,Riya Akter,12,FEMALE,Rajshahi ,8th,73.2,5.1,37,46,34,117.0,primary,No,pass
3847,Mim Khan,15,O,Dhaka,06,88.8,3.9,92,34,73,199.0,illiterate,N,
223,Priya Hossain,11,MALE,KHULNA ,Nine,82.3,2.9,55,51,95,201.0,graduate,1,
